,Unnamed: 0,Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
54070,4147901,2022/09/08 20:44,1729,800C5FD50,1244,8012B8850,59.45,US Dollar,59.45,US Dollar,Credit Card,0
426508,3924540,2022/09/08 09:15,22345,8017041D0,1686,80CDA26E0,588.28,US Dollar,588.28,US Dollar,Cheque,0
130299,2048047,2022/09/03 20:16,16649,806B37970,217824,806F28460,1141401.56,Ruble,1141401.56,Ruble,Credit Card,0
447752,3465404,2022/09/07 10:20,112354,8072445F0,31809,81291DD70,36941.38,Euro,36941.38,Euro,Wire,0
158631,3202917,2022/09/06 21:36,70,100428660,1411,8059F77C0,621194.36,US Dollar,621194.36,US Dollar,Cheque,0
388328,3468433,2022/09/07 10:03,1362,80E1AC940,1362,80E1AC940,206372.55,Swiss Franc,225543.77,US Dollar,ACH,0
192938,979547,2022/09/01 19:35,116,80DD997A0,41407,80FA5E140,1178.09,Swiss Franc,1178.09,Swiss Franc,Cash,0
291963,2598653,2022/09/05 15:23,12004,80ACCAA70,7195,80829B960,181.3,Euro,181.3,Euro,Cash,0
451007,4890498,2022/09/10 00:43,3045,804A60520,1490,806DEC5D0,577.35,Euro,577.35,Euro,Credit Card,0
23209,1452286,2022/09/02 10:24,214,80C51A920,234395,80CA4FB30,3957866.49,Mexican Peso,3957866.49,Mexican Peso,Cheque,0
229231,4840340,2022/09/09 22:31,214,808AF0850,8,809070FA0,4268.29,Canadian Dollar,4268.29,Canadian Dollar,Cheque,0
453279,1569452,2022/09/02 14:07,26580,802815AC0,28711,806E7D3D0,2290.79,Euro,2290.79,Euro,Cheque,0
41932,4247420,2022/09/09 00:42,4866,8059362E0,113865,810F204A0,93.56,US Dollar,93.56,US Dollar,Cheque,0
24244,384251,2022/09/01 02:18,22806,801C651F0,24482,801C63560,6305488.0,Euro,6305488.0,Euro,ACH,0
110041,2003597,2022/09/03 14:59,16787,8062CC920,17491,8065DFD40,159666.69,Ruble,159666.69,Ruble,ACH,0
137261,3410330,2022/09/07 07:18,238845,80F4C3890,39668,80F67AAD0,588.13,Swiss Franc,588.13,Swiss Franc,Cheque,0
496032,3532046,2022/09/07 13:53,70,1004286A8,14011,802E34F70,1598.25,Euro,1598.25,Euro,Cheque,0
256498,3537517,2022/09/07 14:26,513,80046B5E0,1362,800684800,6459.51,US Dollar,6459.51,US Dollar,Cheque,0
58398,4224546,2022/09/09 00:25,226041,812174D60,2952,80C7F5310,3.32,US Dollar,3.32,US Dollar,Credit Card,0
200674,1985795,2022/09/03 12:52,10,8003234C0,115159,80DB595E0,2194.57,US Dollar,2194.57,US Dollar,Cheque,0
32390,2142792,2022/09/04 06:26,70,1004286A8,23555,80A3CA2E0,213.52,Euro,213.52,Euro,Credit Card,0
44705,493938,2022/09/01 05:27,70,1004289C0,45701,810EAD050,867.07,Shekel,867.07,Shekel,Cheque,0
43634,2048953,2022/09/03 20:11,152416,813762E21,220,813764171,0.518668,Bitcoin,0.518668,Bitcoin,Bitcoin,0
347106,2489416,2022/09/05 09:57,111443,80D3221A0,7042,813360930,15.99,US Dollar,15.99,US Dollar,Cash,0
181905,2342766,2022/09/05 02:27,12,80098FAA0,1501,800AA9540,115.03,Euro,115.03,Euro,Credit Card,0
330034,2519961,2022/09/05 11:10,6625,807796FD0,112212,808116610,16.36,Euro,16.36,Euro,Cheque,0
127724,2499180,2022/09/05 10:14,231744,80C029390,25637,812EB9010,1232.18,US Dollar,1232.18,US Dollar,Cheque,0
372405,549404,2022/09/01 07:25,11296,803C17570,1457,80C122380,171609.64,US Dollar,171609.64,US Dollar,Wire,0
149108,4976716,2022/09/10 11:00,5328,802F33CF0,211164,80ECF4320,258.54,Euro,258.54,Euro,Credit Card,0
318839,1711214,2022/09/02 18:33,10057,803F405F0,11808,80CE0F6D0,698455.5,Yen,698455.5,Yen,Cash,0
427853,2488716,2022/09/05 09:34,13145,80E0D5770,15768,80E1B63A0,12569.49,US Dollar,12569.49,US Dollar,Credit Card,0
346947,606059,2022/09/01 08:46,9417,804C0BDC0,18475,80801B910,200663.82,Yuan,200663.82,Yuan,Credit Card,0
112293,4601392,2022/09/09 13:42,1132,80B7652A0,33739,80C6E5B20,7438.46,Mexican Peso,7438.46,Mexican Peso,Wire,0
175597,1249966,2022/09/02 03:54,70,1004287C8,219205,8074D2340,2830.63,Ruble,2830.63,Ruble,Cash,0
406102,2488277,2022/09/05 09:56,10,809030E90,110836,80BC13B90,13256.71,US Dollar,13256.71,US Dollar,Cheque,0
37995,2455456,2022/09/05 07:35,141312,80F614B30,40653,80F8AE030,102.41,Swiss Franc,102.41,Swiss Franc,Cheque,0
405148,149722,2022/09/01 00:26,15180,801FFE1E0,23555,805B9BDF0,80579.34,Euro,80579.34,Euro,Cheque,0
294741,673101,2022/09/01 10:45,13067,8120FD820,13067,8120FD820,19091.0,Yuan,19091.0,Yuan,Reinvestment,0
411666,3923663,2022/09/08 09:10,70,100428660,9371,806DED3B0,99.59,US Dollar,99.59,US Dollar,Credit Card,0
128273,1075323,2022/09/01 22:34,337204,8125507C0,30416,812550770,0.01,Yuan,0.01,Yuan,Cheque,0
224749,187018,2022/09/01 00:08,13554,801C74DE0,3489,811EE8CA0,6475.63,Euro,6475.63,Euro,Credit Card,0
447040,2212998,2022/09/04 15:25,795,800A79800,15723,803E2EA80,83789.86,US Dollar,83789.86,US Dollar,ACH,0
333614,3255924,2022/09/07 00:16,22164,801DA4ED0,28693,80D349D90,299.97,US Dollar,299.97,US Dollar,Cheque,0
327918,4913179,2022/09/10 03:24,55188,8146071E1,254565,8148FC4D1,0.0047,Bitcoin,0.0047,Bitcoin,Bitcoin,0
19360,2260395,2022/09/04 20:45,28,80A4B34E0,28611,80AA45170,3216.57,Australian Dollar,3216.57,Australian Dollar,Cheque,0
109488,2600082,2022/09/05 15:14,70,1004287C8,218783,806D8A280,28445.58,Ruble,28445.58,Ruble,Cheque,0
380729,1224230,2022/09/02 03:24,2454,802571E70,6129,8035205E0,23.07,US Dollar,23.07,US Dollar,ACH,0
305075,2466389,2022/09/05 08:06,53744,813D67971,154518,81426A1D1,2.159093,Bitcoin,2.159093,Bitcoin,Bitcoin,0
446492,2152245,2022/09/04 07:02,70,100428978,141166,80F740170,1491.01,Swiss Franc,1491.01,Swiss Franc,Cheque,0
435126,4717620,2022/09/09 18:14,70,1004286A8,16941,80BD0A9E0,10425.23,Euro,10425.23,Euro,Cheque,0
438269,155748,2022/09/01 00:17,320950,8079B2FC0,320950,8079B2FC0,4128.06,Euro,4128.06,Euro,Reinvestment,0
381878,1783692,2022/09/02 21:19,213704,8063DBDD0,1688,8139686F0,3196.31,US Dollar,3196.31,US Dollar,Credit Card,0
176452,937504,2022/09/01 18:44,1916,801BA9490,22,80280BCC0,50449.93,Euro,50449.93,Euro,Cheque,0
496426,2754742,2022/09/05 23:22,210319,803E6FCE0,210690,804617350,202505.92,Yen,202505.92,Yen,Cheque,0
172282,4842076,2022/09/09 22:39,341792,80F9DC3A0,140754,80F9DC180,608.79,Swiss Franc,608.79,Swiss Franc,ACH,0
344508,3404446,2022/09/07 07:07,20,8030879D0,20,8030879D0,4.39,US Dollar,29.37,Yuan,ACH,0
7701,4317866,2022/09/09 03:27,13265,8020056B0,31253,8134AE7C0,20862.53,Euro,20862.53,Euro,Cash,0
71931,1489894,2022/09/02 11:36,70,100428660,221691,810C17620,1604.89,US Dollar,1604.89,US Dollar,Cheque,0
488524,2584298,2022/09/05 14:31,70,100428660,6156,803588660,1353.17,US Dollar,1353.17,US Dollar,Cheque,0
313866,1751394,2022/09/02 20:17,12719,801D2B760,24550,80EDA9640,207.85,US Dollar,207.85,US Dollar,Credit Card,0
302889,3691634,2022/09/07 21:52,211,80815B480,122047,808864510,292.04,UK Pound,292.04,UK Pound,Cheque,0
162205,1964448,2022/09/03 09:40,48526,811D81540,148016,811FE3B40,616666.08,Saudi Riyal,616666.08,Saudi Riyal,Cheque,0
323579,1573920,2022/09/02 14:10,220541,808612A10,222858,808688CA0,1886.76,UK Pound,1886.76,UK Pound,ACH,0
442006,1002714,2022/09/01 20:41,229558,8100C8B90,229558,8100C8B90,8.38,US Dollar,8.38,US Dollar,Reinvestment,0
178389,1370762,2022/09/02 07:39,4600,809126690,120511,80D087A10,163.25,Euro,163.25,Euro,ACH,0
435458,4176244,2022/09/08 21:53,48943,812354470,48681,812A7F490,1599365.09,Saudi Riyal,1599365.09,Saudi Riyal,Cash,0
181567,1627047,2022/09/02 16:18,22164,8031B7700,19746,807A822F0,74.07,US Dollar,74.07,US Dollar,Credit Card,0
173345,769580,2022/09/01 13:55,1669,800C83160,1669,800C83160,14.11,Euro,14.11,Euro,Reinvestment,0
201408,3790539,2022/09/08 02:26,13057,8014D3180,2591,806EA8520,68.85,Euro,68.85,Euro,Cheque,0
198744,1048553,2022/09/01 22:12,1292,80196B510,1292,80196B510,20271.65,US Dollar,20271.65,US Dollar,Reinvestment,0
458882,2001817,2022/09/03 14:50,210404,807C96740,15768,80DFD9150,57.87,US Dollar,57.87,US Dollar,Credit Card,0
393065,1696663,2022/09/02 18:09,112989,805E25DA0,13157,805FD2D60,4914.55,Rupee,4914.55,Rupee,Credit Card,0
209949,1257281,2022/09/02 04:12,2627,801E7D1D0,3420,80C2BAC30,367.66,US Dollar,367.66,US Dollar,Cheque,0
473034,2799921,2022/09/06 00:58,19,80A2615A0,28531,80AB07E70,5234.69,Australian Dollar,5234.69,Australian Dollar,Cheque,0
149774,3104471,2022/09/06 16:53,10,80013A9C0,11405,800AF2030,6358.83,US Dollar,6358.83,US Dollar,Credit Card,0
463613,2587465,2022/09/05 14:59,13858,8026FC520,27103,802DE3460,10195.94,Euro,10195.94,Euro,Cheque,0
84630,72407,2022/09/01 00:20,18617,80BBE5DE0,18617,80BBE5DE0,11.09,US Dollar,11.09,US Dollar,Reinvestment,0
66201,2368845,2022/09/05 03:43,70,100428660,1665,800A2CF00,2708.64,US Dollar,2708.64,US Dollar,Credit Card,0
373241,1194501,2022/09/02 02:20,12381,801C3ED60,11813,808E80FF0,3352.49,US Dollar,3352.49,US Dollar,Credit Card,0
195869,3391976,2022/09/07 06:50,1665,800420580,11904,800F6BCF0,2483.34,US Dollar,2483.34,US Dollar,Credit Card,0
386780,2672535,2022/09/05 19:22,11474,804DD8D70,6803,80AA65F40,48.92,US Dollar,48.92,US Dollar,Cheque,0
115219,2822760,2022/09/06 02:29,220,80044DBA0,14433,806D22B20,909.25,US Dollar,909.25,US Dollar,ACH,0
223973,3971299,2022/09/08 11:14,153827,813F65CD1,255657,814555DD1,0.012283,Bitcoin,0.012283,Bitcoin,Bitcoin,0
141060,4839512,2022/09/09 22:57,16787,8063C90F0,9,8065A22A0,398864.89,Ruble,398864.89,Ruble,Cheque,0
210340,4360558,2022/09/09 04:32,127593,80A5D6480,28237,80A60DE10,447.75,Australian Dollar,447.75,Australian Dollar,Wire,0
451098,1259912,2022/09/02 04:12,1669,800C8A5D0,3655,801B54AF0,109.35,Euro,109.35,Euro,Credit Card,0
449831,4969435,2022/09/10 10:02,128684,80A965010,128684,80A965010,1155.95,UK Pound,1493.08,US Dollar,ACH,0
484076,48384,2022/09/01 00:13,1457,80718AA50,1457,80718AA50,13368602.86,US Dollar,13368602.86,US Dollar,Reinvestment,0
107794,2882193,2022/09/06 05:21,70,100428660,223635,809714AB0,768.21,US Dollar,768.21,US Dollar,Cheque,0
10184,21222,2022/09/01 00:02,70,100428660,16031,8027FDB50,17144.99,US Dollar,17144.99,US Dollar,Credit Card,0
17990,3059067,2022/09/06 14:15,23,80005FD30,22,8001243A0,215.43,Euro,215.43,Euro,Credit Card,0
477042,2010974,2022/09/03 15:42,4,800072EF0,3,8007BD470,172.58,Yuan,172.58,Yuan,Credit Card,0
7548,3258376,2022/09/07 00:06,46063,81337EC40,218885,80A020910,54.73,US Dollar,54.73,US Dollar,Credit Card,0
468136,2485404,2022/09/05 09:05,70,1004289C0,143598,810226BB0,35965.16,Shekel,35965.16,Shekel,Cash,0
78313,674788,2022/09/01 10:52,118180,8071D5750,116425,8071D57A0,1858052584.0,Ruble,1858052584.0,Ruble,ACH,0
347603,5029205,2022/09/10 17:30,121303,80DFE1390,121303,80DFE1390,53.56,UK Pound,69.18,US Dollar,ACH,0
234457,2267385,2022/09/04 21:48,70,1004286A8,238123,810E90D60,15163.93,Euro,15163.93,Euro,Cash,0
254268,476377,2022/09/01 04:42,139298,80EB417E0,139298,80EB417E0,3531.56,Swiss Franc,3531.56,Swiss Franc,Reinvestment,0
214738,4937575,2022/09/10 06:25,70,100428A51,153502,813EA16B1,0.014248,Bitcoin,0.014248,Bitcoin,Bitcoin,0
203702,4868160,2022/09/09 23:48,135155,80D6FB4B0,36868,80D912640,1404.7,Brazil Real,1404.7,Brazil Real,Cash,0
465647,549354,2022/09/01 07:10,227786,80BF9A910,227786,80BF9A910,2364.99,US Dollar,2364.99,US Dollar,Reinvestment,0
481109,2199721,2022/09/04 13:16,213,80A438930,134091,80C9F2810,4593.84,Mexican Peso,4593.84,Mexican Peso,ACH,0
501697,1177377,2022/09/02 01:44,12381,8016D4510,11974,802202F00,5139.36,US Dollar,5139.36,US Dollar,Credit Card,0
459177,495102,2022/09/01 05:31,220,800297BA0,1047,8006920D0,11364.41,US Dollar,11364.41,US Dollar,Cheque,0
482240,1078300,2022/09/01 22:35,15,80A14BBE0,15,80A14BBE0,236655.39,Australian Dollar,236655.39,Australian Dollar,Reinvestment,0
